,video_id,frame_index,label,viewpoint,display,instance_id,x_min,y_min,x_max,y_max,frame_path,video_text_path
0,000001,0,长款外套,0,1,20000101,214,526,519,996,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_0.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
1,000001,0,长裤,0,1,0,289,988,422,1216,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_0.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
2,000001,40,长款外套,0,1,20000101,248,528,551,1043,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_40.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
3,000001,80,长款外套,0,1,20000101,128,528,461,1056,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_80.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
4,000001,120,长款外套,0,1,20000101,242,519,507,1036,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_120.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
5,000001,160,长款外套,0,1,20000101,74,521,626,1046,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_160.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
6,000001,200,长款外套,0,1,20000101,257,521,525,1084,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_200.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
7,000001,240,长款外套,0,1,20000101,123,523,435,1058,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_240.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
8,000001,280,长款外套,0,1,20000101,111,531,437,1073,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_280.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
9,000001,320,长款外套,0,1,20000101,88,530,463,1062,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_320.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
10,000001,360,长款外套,0,1,20000101,131,522,461,1044,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000001_360.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000001.txt
11,000002,0,长袖衬衫,0,1,0,221,507,614,1039,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_0.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
12,000002,0,短裤,0,1,20000201,207,933,559,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_0.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
13,000002,40,短裤,0,1,20000201,216,936,554,1234,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_40.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
14,000002,40,长袖衬衫,0,1,0,234,660,573,1052,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_40.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
15,000002,80,短裤,0,1,20000201,213,948,548,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_80.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
16,000002,80,长袖衬衫,0,1,0,232,662,567,1037,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_80.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
17,000002,120,长袖衬衫,0,1,0,201,649,573,1055,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_120.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
18,000002,120,短裤,0,1,20000201,213,938,557,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_120.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
19,000002,160,短裤,0,1,20000201,208,947,551,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_160.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
20,000002,160,长袖衬衫,0,1,0,224,659,570,1038,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_160.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
21,000002,200,短裤,0,1,20000201,210,963,552,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_200.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
22,000002,200,长袖衬衫,0,1,0,221,661,563,1047,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_200.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
23,000002,240,短裤,0,1,20000201,205,962,552,1235,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_240.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
24,000002,240,长袖衬衫,0,1,0,167,663,562,1052,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_frame\000002_240.jpg,D:\WorkSpace\Python\Taobao-live-product-identification\Live_data\Live_demo_20200117\video_text\000002.txt
